date,action,position,market_return,strategy_return,transaction_cost,slippage,equity,changed_position,entry_date,exit_date,holding_days,trade_return
2024-01-02,0,0,-0.0081666141200165,0.0,0.0,0.0,10000.0,False,,,,
2024-01-03,0,0,-0.0032211421521444,0.0,0.0,0.0,10000.0,False,,,,
2024-01-04,0,0,0.0013696686415112,0.0,0.0,0.0,10000.0,False,,,,
2024-01-05,0,0,0.0142759174450461,0.0,0.0,0.0,10000.0,False,,,,
2024-01-08,1,1,-0.0015171942610788,-0.0020171942610788,0.0005,0.0,9979.828057389212,True,2024-01-08,,,
2024-01-09,0,0,0.0056555983484265,-0.0005,0.0005,0.0,9974.838143360517,True,2024-01-08,2024-01-09,1.0,-0.0025161856639482894
2024-01-10,1,1,-0.0004406730105988,-0.0009406730105988,0.0005,0.0,9965.455082333967,True,2024-01-10,,,
2024-01-11,0,0,0.0006927820257085,-0.0005,0.0005,0.0,9960.4723547928,True,2024-01-10,2024-01-11,1.0,-0.0014402026740933938
2024-01-12,0,0,-0.0036711088030699,0.0,0.0,0.0,9960.4723547928,False,2024-01-10,,,
2024-01-16,0,0,-0.0055588263446637,0.0,0.0,0.0,9960.4723547928,False,2024-01-10,,,
2024-01-17,0,0,0.0088927437676438,0.0,0.0,0.0,9960.4723547928,False,2024-01-10,,,
2024-01-18,1,1,0.0124662815797202,0.0119662815797202,0.0005,0.0,10079.66217165727,True,2024-01-18,,,
2024-01-19,0,0,0.0021141260530552,-0.0005,0.0005,0.0,10074.622340571443,True,2024-01-18,2024-01-19,1.0,0.011460298438930483
2024-01-22,1,1,0.0029164788958622,0.0024164788958622,0.0005,0.0,10098.967452841216,True,2024-01-22,,,
2024-01-23,0,0,0.0010933278020706,-0.0005,0.0005,0.0,10093.917969114797,True,2024-01-22,2024-01-23,1.0,0.0019152706564145028
2024-01-24,0,0,0.0054389063480744,0.0,0.0,0.0,10093.917969114797,False,2024-01-22,,,
2024-01-25,0,0,-0.0012705273786958,0.0,0.0,0.0,10093.917969114797,False,2024-01-22,,,
2024-01-26,0,0,0.0079194378238247,0.0,0.0,0.0,10093.917969114797,False,2024-01-22,,,
2024-01-29,1,1,-0.0007734921111419,-0.0012734921111419001,0.0005,0.0,10081.063444210615,True,2024-01-29,,,
2024-01-30,0,0,-0.016317453722021,-0.0005,0.0005,0.0,10076.02291248851,True,2024-01-29,2024-01-30,1.0,-0.0017728553650863121
2024-01-31,0,0,0.0130882471471693,0.0,0.0,0.0,10076.02291248851,False,2024-01-29,,,
2024-02-01,1,1,0.0105274258742655,0.0100274258742655,0.0005,0.0,10177.059485350888,True,2024-02-01,,,
2024-02-02,1,1,-0.003641132568705,-0.003641132568705,0.0,0.0,10140.00346260513,False,2024-02-01,,,
2024-02-05,0,0,0.0029033816277115,-0.0005,0.0005,0.0,10134.933460873826,True,2024-02-01,2024-02-05,4.0,0.005846607227570022
2024-02-06,0,0,0.0083403679664701,0.0,0.0,0.0,10134.933460873826,False,2024-02-01,,,
2024-02-07,0,0,0.0004416873593215,0.0,0.0,0.0,10134.933460873826,False,2024-02-01,,,
2024-02-08,0,0,0.0057793986720151,0.0,0.0,0.0,10134.933460873826,False,2024-02-01,,,
2024-02-09,1,1,-0.0004389554591306,-0.0009389554591306001,0.0005,0.0,10125.417209772813,True,2024-02-09,,,
