entry_date,exit_date,holding_days,trade_return,win
2024-01-08,2024-01-09,1,-0.0004999999999999449,False
2024-01-10,2024-01-11,1,-0.0004999999999999449,False
2024-01-18,2024-01-19,1,-0.0004999999999998339,False
2024-01-22,2024-01-23,1,-0.0004999999999999449,False
2024-01-29,2024-01-30,1,-0.0004999999999999449,False
2024-02-01,2024-02-05,4,-0.004139312002420681,False
2024-02-09,2024-02-12,3,-0.0004999999999999449,False
2024-02-13,2024-02-15,2,0.006396217327787168,True
2024-02-16,2024-02-23,7,0.021813588171553544,True
2024-02-29,2024-03-01,1,-0.0004999999999998339,False
2024-03-05,2024-03-12,7,0.013284342304623609,True
2024-03-14,2024-03-15,1,-0.000500000000000056,False
2024-04-01,2024-04-05,4,-0.001290071756353539,False
2024-04-09,2024-04-11,2,0.007043150438544199,True
2024-04-12,2024-04-15,3,-0.0004999999999998339,False
2024-04-23,2024-04-24,1,-0.000500000000000056,False
2024-04-25,2024-04-26,1,-0.0004999999999999449,False
2024-05-01,2024-05-10,9,0.030789605551153176,True
2024-05-13,2024-05-16,3,0.009795038447756754,True
2024-05-22,2024-05-30,8,-0.006866277697168854,False
2024-05-31,2024-06-05,5,0.012509488641242461,True
2024-06-11,2024-06-12,1,-0.000500000000000056,False
2024-06-14,2024-06-17,3,-0.0004999999999999449,False
2024-06-20,2024-06-21,1,-0.000500000000000056,False
2024-07-08,2024-07-22,14,-0.0026038365634900584,False
2024-07-23,2024-07-25,2,-0.005707818082287153,False
2024-08-05,2024-08-07,2,-0.0071807617541393975,False
2024-08-15,2024-08-16,1,-0.0004999999999999449,False
2024-08-28,2024-08-29,1,-0.000500000000000056,False
2024-09-18,2024-09-19,1,-0.0004999999999998339,False
2024-09-27,2024-09-30,3,-0.0004999999999999449,False
2024-10-21,2024-10-22,1,-0.0004999999999999449,False
2024-10-25,2024-10-31,6,-0.021476751195392718,False
2024-11-05,2024-11-12,7,0.009409918944391915,True
2024-11-15,2024-12-03,18,0.026282257499965267,True
2024-12-04,2024-12-05,1,-0.0004999999999999449,False
2024-12-06,2024-12-18,12,-0.030914079686828244,False
2024-12-19,2024-12-20,1,-0.0004999999999999449,False
2024-12-24,2024-12-27,3,-0.011021114542338672,False
2024-12-30,2025-01-16,17,0.008981935207852842,True
2025-01-17,2025-01-23,6,0.010604621524640478,True
2025-01-27,2025-01-28,1,-0.0004999999999999449,False
2025-01-29,2025-01-30,1,-0.0004999999999999449,False
2025-01-31,2025-02-03,3,-0.0004999999999999449,False
2025-02-21,2025-02-24,3,-0.0004999999999999449,False
2025-02-25,2025-02-26,1,-0.000500000000000056,False
2025-03-14,2025-03-25,11,0.01719559631615608,True
2025-03-28,2025-04-02,5,0.008666251838925332,True
2025-04-04,2025-04-07,3,-0.0004999999999999449,False
2025-04-08,2025-04-09,1,-0.0004999999999999449,False
2025-04-16,2025-04-24,8,0.038005889742330545,True
2025-04-30,2025-05-01,1,-0.0004999999999999449,False
2025-05-08,2025-05-14,6,0.040677970774956496,True
2025-05-21,2025-05-27,6,0.013315901786715933,True
2025-05-28,2025-06-11,14,0.018658269900107216,True
2025-06-12,2025-06-13,1,-0.0004999999999999449,False
2025-06-17,2025-06-25,8,0.01869714296074121,True
2025-06-26,2025-07-01,5,0.003953789777844552,True
2025-07-02,2025-08-08,37,0.018424064410658136,True
2025-08-11,2025-08-20,9,-0.007622793519918902,False
2025-08-21,2025-09-02,12,-0.00830625346302638,False
2025-09-04,2025-09-08,4,0.0019554447449736667,True
2025-09-10,2025-09-26,16,0.008656841676369043,True
2025-09-29,2025-10-02,3,0.004060947847710716,True
2025-10-03,2025-10-08,5,0.0017323165533837948,True
2025-10-09,2025-10-21,12,0.02746370672518883,True
2025-10-22,2025-10-23,1,-0.0004999999999999449,False
2025-10-31,2025-11-03,3,-0.0004999999999999449,False
