entry_date,exit_date,holding_days,trade_return,win
2024-12-06,2024-12-18,12,-0.030914079686828244,False
2024-10-25,2024-10-31,6,-0.021476751195392718,False
2024-12-24,2024-12-27,3,-0.011021114542338672,False
2025-12-09,2025-12-15,6,-0.01044321694068251,False
2026-01-23,2026-02-04,12,-0.009936192546262212,False
2025-08-21,2025-09-02,12,-0.00830625346302638,False
2025-08-11,2025-08-20,9,-0.007622793519918902,False
2024-08-05,2024-08-07,2,-0.0071807617541393975,False
2024-05-22,2024-05-30,8,-0.006866277697168854,False
2024-07-23,2024-07-25,2,-0.005707818082287153,False
2024-02-01,2024-02-05,4,-0.004139312002420681,False
2026-01-12,2026-01-16,4,-0.003539877714344941,False
2026-02-06,2026-02-10,4,-0.003135739241813984,False
2024-07-08,2024-07-22,14,-0.0026038365634900584,False
2026-02-26,2026-03-04,6,-0.001752968175682379,False
2024-04-01,2024-04-05,4,-0.001290071756353539,False
2026-05-14,2026-05-18,4,-0.0012031575630727653,False
2026-05-11,2026-05-12,1,-0.000500000000000056,False
2025-02-25,2025-02-26,1,-0.000500000000000056,False
2024-08-28,2024-08-29,1,-0.000500000000000056,False
