entry_date,exit_date,holding_days,trade_return
2024-01-08,2024-01-09,2,0.004129823445990555
2024-01-10,2024-01-11,2,0.0002518037247687399
2024-01-18,2024-01-19,2,0.014606762923448091
2024-01-22,2024-01-23,2,0.00401299536539379
2024-01-29,2024-01-30,2,-0.017078324411434975
2024-02-01,2024-02-05,3,0.0097712254258151
2024-02-09,2024-02-12,2,-0.01420602378865099
2024-02-13,2024-02-15,3,0.010990388468656631
2024-02-16,2024-02-23,5,0.012972477565415419
2024-02-29,2024-03-01,2,0.008305678162056296
2024-03-05,2024-03-12,6,0.01733098686405765
2024-03-14,2024-03-15,2,-0.0009641779767658454
2024-04-01,2024-04-05,5,-0.006588197388789685
2024-04-09,2024-04-11,3,-0.016309753389919024
2024-04-12,2024-04-15,2,-0.014329044270459002
2024-04-23,2024-04-24,2,-0.004271747608391552
2024-04-25,2024-04-26,2,0.013048932735229668
2024-05-01,2024-05-10,8,0.04109107502409204
2024-05-13,2024-05-16,4,0.016394622261626468
2024-05-22,2024-05-30,6,-0.004642886930412371
2024-05-31,2024-06-05,4,0.013823190669248309
2024-06-11,2024-06-12,2,0.010243039443494029
2024-06-14,2024-06-17,2,0.010519885233416293
2024-06-20,2024-06-21,2,-0.0045867606746147205
2024-07-08,2024-07-22,11,-0.0027012660968203095
2024-07-23,2024-07-25,3,-0.016865826716822574
2024-08-05,2024-08-07,3,0.025648308544128584
2024-08-15,2024-08-16,2,0.011824860166309348
2024-08-28,2024-08-29,2,0.009636681118517565
2024-09-18,2024-09-19,2,0.015306393300587029
2024-09-27,2024-09-30,2,-0.004987088657016359
2024-10-21,2024-10-22,2,-0.00966390532215966
2024-10-25,2024-10-31,5,-0.013816017216826681
2024-11-05,2024-11-12,6,0.035529794117917346
2024-11-15,2024-12-03,12,0.03740488099104322
2024-12-04,2024-12-05,2,0.0002469378274310152
2024-12-06,2024-12-18,9,-0.03571833737603969
2024-12-19,2024-12-20,2,0.018071038800174355
2024-12-24,2024-12-27,3,-0.021753009897502285
2024-12-30,2025-01-16,12,0.015912730321457458
2025-01-17,2025-01-23,4,0.01738663490809267
2025-01-27,2025-01-28,2,0.004071036663773953
2025-01-29,2025-01-30,2,1.6608050221078585e-05
2025-01-31,2025-02-03,2,-6.643109759341126e-05
2025-02-21,2025-02-24,2,-0.009500856325003526
2025-02-25,2025-02-26,2,-0.015465274016143615
2025-03-14,2025-03-25,8,0.013309032676720456
2025-03-28,2025-04-02,4,-0.034121500298965546
2025-04-04,2025-04-07,2,-0.017416044452172263
2025-04-08,2025-04-09,2,0.056598464720689634
2025-04-16,2025-04-24,6,0.04752133040650475
2025-04-30,2025-05-01,2,0.02203642870472655
2025-05-08,2025-05-14,5,0.0449511123067472
2025-05-21,2025-05-27,4,0.008355558009723874
2025-05-28,2025-06-11,11,0.027257294563791
2025-06-12,2025-06-13,2,-0.0017722922285169362
2025-06-17,2025-06-25,6,0.02702591001176069
2025-06-26,2025-07-01,4,0.014022668846659592
2025-07-02,2025-08-08,27,0.02493342982510982
2025-08-11,2025-08-20,8,-0.0005817714460166767
2025-08-21,2025-09-02,8,0.012886432018521798
2025-09-04,2025-09-08,3,0.0018640254869619621
2025-09-10,2025-09-26,13,0.0204076109994189
2025-09-29,2025-10-02,4,0.008332324158278448
2025-10-03,2025-10-08,4,0.002913857467806036
2025-10-09,2025-10-21,9,-0.0050062667735562005
2025-10-22,2025-10-23,2,0.014150980344995512
2025-10-31,2025-11-03,2,-0.009999053509553213
2025-11-04,2025-11-10,5,0.011492104293485017
2025-11-24,2025-11-25,2,0.01637435242160623
2025-11-28,2025-12-01,2,-0.0027216499450094522
2025-12-09,2025-12-15,5,-0.006104979262495425
2026-01-06,2026-01-09,4,0.004842346996788871
2026-01-12,2026-01-16,5,-0.025289130990863273
2026-01-21,2026-01-22,2,0.005587887521047108
2026-01-23,2026-02-04,9,-0.016844822904657053
2026-02-06,2026-02-10,3,0.0019403296436950601
2026-02-12,2026-02-20,6,0.001643981351219015
2026-02-23,2026-02-24,2,0.01576811519140464
2026-02-26,2026-03-04,5,-0.011591456526118038
2026-03-05,2026-03-09,3,-0.006061831437171983
2026-03-18,2026-03-19,2,-0.016764748692041143
2026-03-25,2026-03-26,2,-0.034606098967307264
2026-04-01,2026-04-06,3,0.006074039402435449
2026-04-08,2026-04-13,4,0.02729249024738034
2026-04-14,2026-04-20,5,0.013852482677457534
2026-04-21,2026-04-22,2,0.006206672081230602
2026-04-23,2026-04-24,2,0.009485447490498622
2026-04-27,2026-04-28,2,-0.005019749750924785
2026-04-30,2026-05-07,6,0.02638248493797324
2026-05-11,2026-05-12,2,0.004071409285849148
2026-05-14,2026-05-18,3,-0.019300423939143885
2026-05-19,2026-05-20,2,0.012252406938735527
2026-05-26,2026-06-01,5,0.011963900083050483
2026-06-02,2026-06-03,2,-0.003265012285285418
2026-06-08,2026-06-09,2,-0.01865473402968687
2026-06-11,2026-06-12,2,0.023137586675956223
2026-06-15,2026-06-16,2,-0.018374986502213586
2026-06-17,2026-06-18,2,0.0072172936239036645
2026-06-23,2026-06-29,5,0.017980318621180214
2026-07-22,2026-07-24,3,-0.011131703600446352
2026-07-30,2026-07-31,2,0.021545363178887333
