trade_id,side,signal_date,execution_date,execution_index,execution_price,shares,gross_value,transaction_cost,slippage_rate,position_after,completed_trade_return,entry_date,entry_price,holding_days
1,BUY,2024-01-08,2024-01-09,5,458.28108045431594,21.80976462925788,9995.002498750626,4.997501249375313,0.0005,1,,,,
1,SELL,2024-01-09,2024-01-10,6,460.0448543727835,21.80976462925788,10033.469992771626,5.016734996385813,0.0005,0,0.002845325777524055,2024-01-09,458.28108045431594,1.0
2,BUY,2024-01-10,2024-01-11,7,463.83636034317755,21.609865879403493,10023.441537006736,5.011720768503368,0.0005,1,,,,
2,SELL,2024-01-11,2024-01-12,8,463.61530262742986,21.609865879403493,10018.66450941782,5.0093322547089105,0.0005,0,-0.0014756094715459023,2024-01-11,463.83636034317755,1.0
3,BUY,2024-01-18,2024-01-19,12,463.8946933912623,21.57526480540198,10008.650851737244,5.004325425868622,0.0005,1,,,,
3,SELL,2024-01-19,2024-01-22,13,469.60167994915366,21.57526480540198,10131.780597964618,5.06589029898231,0.0005,0,0.01129053562383131,2024-01-19,463.8946933912623,3.0
4,BUY,2024-01-22,2024-01-23,14,470.0715149362958,21.53215746777799,10121.653880725273,5.060826940362636,0.0005,1,,,,
4,SELL,2024-01-23,2024-01-24,15,473.2885330792045,21.53215746777799,10190.923221955083,5.095461610977542,0.0005,0,0.005837337614905236,2024-01-23,470.0715149362958,1.0
5,BUY,2024-01-29,2024-01-30,19,476.4328504967516,21.368672166567354,10180.737391648281,5.09036869582414,0.0005,1,,,,
5,SELL,2024-01-30,2024-01-31,20,474.07443364486676,21.368672166567354,10130.341155108246,5.065170577554123,0.0005,0,-0.005944708396617204,2024-01-30,476.4328504967516,1.0
6,BUY,2024-02-01,2024-02-02,22,475.5490549162103,21.28111868159539,10120.215876592396,5.060107938296198,0.0005,1,,,,
6,SELL,2024-02-05,2024-02-06,24,478.8285024275875,21.28111868159539,10190.006188292076,5.095003094146039,0.0005,0,0.00588973582135921,2024-02-02,475.5490549162103,4.0
7,BUY,2024-02-09,2024-02-12,28,486.7372863690764,20.91440610703828,10179.82127456065,5.089910637280325,0.0005,1,,,,
7,SELL,2024-02-12,2024-02-13,29,479.8084739062688,20.91440610703828,10034.909276873985,5.017454638436992,0.0005,0,-0.015220492367933214,2024-02-12,486.7372863690764,1.0
8,BUY,2024-02-13,2024-02-14,30,482.48346153495726,20.777664276100676,10024.879382544275,5.012439691272138,0.0005,1,,,,
8,SELL,2024-02-15,2024-02-16,32,486.7650580131201,20.777664276100676,10113.840956733278,5.0569204783666395,0.0005,0,0.007865709363331863,2024-02-14,482.48346153495726,2.0
9,BUY,2024-02-16,2024-02-20,33,483.38664799547576,20.90196783893045,10103.732170169827,5.051866085084914,0.0005,1,,,,
9,SELL,2024-02-23,2024-02-26,37,493.16855807621886,20.90196783893045,10308.19334008083,5.154096670040415,0.0005,0,0.019216476131964644,2024-02-20,483.38664799547576,6.0
10,BUY,2024-02-29,2024-03-01,41,494.32236911094554,20.83233723932571,10297.89029826166,5.14894514913083,0.0005,1,,,,
10,SELL,2024-03-01,2024-03-04,42,496.7875549781375,20.83233723932571,10349.245881604622,5.174622940802311,0.0005,0,0.003982515671700604,2024-03-01,494.32236911094554,3.0
11,BUY,2024-03-05,2024-03-06,44,495.84714552337795,20.85098583525573,10338.901807759941,5.16945090387997,0.0005,1,,,,
11,SELL,2024-03-12,2024-03-13,49,501.7162431891046,20.85098583525573,10461.278280053739,5.230639140026869,0.0005,0,0.01082517506403513,2024-03-06,495.84714552337795,7.0
12,BUY,2024-03-14,2024-03-15,51,497.0565375847031,21.025419523866322,10450.82222979881,5.225411114899405,0.0005,1,,,,
12,SELL,2024-03-15,2024-03-18,52,500.24837006233,21.025419523866322,10517.931846690819,5.25896592334541,0.0005,0,0.005415549144228482,2024-03-15,497.0565375847031,3.0
13,BUY,2024-04-01,2024-04-02,62,504.87952515852515,20.811735567772725,10507.419171181882,5.253709585590941,0.0005,1,,,,
13,SELL,2024-04-05,2024-04-08,66,505.2605746504467,20.811735567772725,10515.349472445987,5.257674736222993,0.0005,0,-0.0002455211045738759,2024-04-02,504.87952515852515,6.0
14,BUY,2024-04-09,2024-04-10,68,500.2421799428335,20.99950743702025,10504.839378020753,5.2524196890103765,0.0005,1,,,,
14,SELL,2024-04-11,2024-04-12,70,500.6084342838137,20.99950743702025,10512.530538778008,5.256265269389004,0.0005,0,-0.0002680779821312429,2024-04-10,500.2421799428335,2.0
15,BUY,2024-04-12,2024-04-15,71,501.8497202538328,20.926629702146325,10502.02326187768,5.251011630938841,0.0005,1,,,,
15,SELL,2024-04-15,2024-04-16,72,491.430747748258,20.926629702146325,10283.989282376675,5.1419946411883375,0.0005,0,-0.021739889892191333,2024-04-15,501.8497202538328,1.0
16,BUY,2024-04-23,2024-04-24,78,493.50066050325074,20.81802772470971,10273.710432519229,5.136855216259614,0.0005,1,,,,
16,SELL,2024-04-24,2024-04-25,79,485.82485935162276,20.81802772470971,10113.915391335278,5.05695769566764,0.0005,0,-0.016537735150390365,2024-04-24,493.50066050325074,1.0
17,BUY,2024-04-25,2024-04-26,80,493.2960850613855,20.48223538834108,10103.806530374422,5.051903265187211,0.0005,1,,,,
17,SELL,2024-04-26,2024-04-29,81,496.44294400379886,20.48223538834108,10168.261235966838,5.084130617983419,0.0005,0,0.005373373469005127,2024-04-26,493.2960850613855,3.0
18,BUY,2024-05-01,2024-05-02,84,491.1527853320885,20.68215504357242,10158.098056320696,5.079049028160348,0.0005,1,,,,
18,SELL,2024-05-10,2024-05-13,91,508.57928596789645,20.68215504357242,10518.515644337389,5.259257822168695,0.0005,0,0.0344458506958536,2024-05-02,491.1527853320885,11.0
19,BUY,2024-05-13,2024-05-14,92,507.675524768708,20.698264684140334,10508.00238532256,5.2540011926612795,0.0005,1,,,,
19,SELL,2024-05-16,2024-05-17,95,514.662061735891,20.698264684140334,10652.611576694846,5.326305788347423,0.0005,0,0.012748560433015754,2024-05-14,507.675524768708,3.0
20,BUY,2024-05-22,2024-05-23,99,519.2200175084058,20.496059338832854,10641.96428876212,5.32098214438106,0.0005,1,,,,
20,SELL,2024-05-30,2024-05-31,104,509.5817980618818,20.496059338832854,10444.41877106547,5.222209385532735,0.0005,0,-0.019543827739373354,2024-05-23,519.2200175084058,8.0
21,BUY,2024-05-31,2024-06-03,105,515.3815817982753,20.245154154495836,10433.97957189399,5.2169897859469945,0.0005,1,,,,
21,SELL,2024-06-05,2024-06-06,108,520.6670436077776,20.245154154495836,10540.984561005063,5.270492280502531,0.0005,0,0.009245683465614496,2024-06-03,515.3815817982753,3.0
22,BUY,2024-06-11,2024-06-12,112,527.666459725134,19.95663861179998,10530.44884430241,5.265224422151205,0.0005,1,,,,
22,SELL,2024-06-12,2024-06-13,113,528.6184772351786,19.95663861179998,10549.447913702475,5.274723956851238,0.0005,0,0.0008028996388744769,2024-06-12,527.666459725134,1.0
23,BUY,2024-06-14,2024-06-17,115,528.1049488460548,19.956078353185113,10538.903737876684,5.269451868938342,0.0005,1,,,,
23,SELL,2024-06-17,2024-06-18,116,532.5211666833588,19.956078353185113,10627.03412706266,5.31351706353133,0.0005,0,0.007354528312274233,2024-06-17,528.1049488460548,1.0
24,BUY,2024-06-20,2024-06-21,118,532.0761268563257,19.952807254334747,10616.41240379723,5.308206201898615,0.0005,1,,,,
24,SELL,2024-06-21,2024-06-24,119,531.4759836392324,19.952807254334747,10604.43786186157,5.302218930930785,0.0005,0,-0.002126300238704082,2024-06-21,532.0761268563257,3.0
25,BUY,2024-07-08,2024-07-09,129,543.6677115326889,19.48587068690005,10593.838723568855,5.296919361784427,0.0005,1,,,,
25,SELL,2024-07-22,2024-07-23,139,541.4448439629323,19.48587068690005,10550.524213550474,5.275262106775237,0.0005,0,-0.005084064710775049,2024-07-09,543.6677115326889,14.0
26,BUY,2024-07-23,2024-07-24,140,536.4351998912197,19.648186703818194,10539.978961962717,5.2699894809813586,0.0005,1,,,,
26,SELL,2024-07-25,2024-07-26,142,529.4744128680505,19.648186703818194,10403.212118925976,5.201606059462988,0.0005,0,-0.013962537940560238,2024-07-24,536.4351998912197,2.0
27,BUY,2024-08-05,2024-08-06,149,507.4660507370336,20.47982143971856,10392.814105813606,5.196407052906803,0.0005,1,,,,
27,SELL,2024-08-07,2024-08-08,151,511.5381567015052,20.47982143971856,10476.210108849598,5.238105054424799,0.0005,0,0.007016870279018983,2024-08-06,507.4660507370336,2.0
28,BUY,2024-08-15,2024-08-16,157,538.9372423163857,19.419216770482713,10465.739134228063,5.232869567114031,0.0005,1,,,,
28,SELL,2024-08-16,2024-08-19,158,541.6302959087876,19.419216770482713,10518.036125713443,5.259018062856722,0.0005,0,0.0039924759459062376,2024-08-16,538.9372423163857,3.0
29,BUY,2024-08-28,2024-08-29,166,547.6259929017687,19.18740797948647,10507.523345977597,5.253761672988799,0.0005,1,,,,
29,SELL,2024-08-29,2024-08-30,167,547.5277701054897,19.18740797948647,10505.638705112506,5.252819352556253,0.0005,0,-0.0011786820707555545,2024-08-29,547.6259929017687,1.0
30,BUY,2024-09-18,2024-09-19,180,558.0838110281235,18.805667014900678,10495.138316601644,5.247569158300822,0.0005,1,,,,
30,SELL,2024-09-19,2024-09-20,181,556.1314149834516,18.805667014900678,10458.422206704336,5.229211103352168,0.0005,0,-0.0044943957938691215,2024-09-19,558.0838110281235,1.0
31,BUY,2024-09-27,2024-09-30,187,559.2171246018954,18.683206488952404,10447.969011095438,5.223984505547719,0.0005,1,,,,
31,SELL,2024-09-30,2024-10-01,188,561.5767694216913,18.683206488952404,10492.054742504271,5.2460273712521355,0.0005,0,0.00321583266913561,2024-09-30,559.2171246018954,1.0
32,BUY,2024-10-21,2024-10-22,203,569.6383548458496,18.40039007556621,10481.567931167434,5.240783965583717,0.0005,1,,,,
32,SELL,2024-10-22,2024-10-23,204,569.2746399157202,18.40039007556621,10474.875434576747,5.2374377172883735,0.0005,0,-0.0016373635430941835,2024-10-22,569.6383548458496,1.0
33,BUY,2024-10-25,2024-10-28,207,571.1383834000069,18.322014590697794,10464.405793962476,5.232202896981239,0.0005,1,,,,
33,SELL,2024-10-31,2024-11-01,211,559.5396486527692,18.322014590697794,10251.893606689955,5.125946803344978,0.0005,0,-0.021287301150211824,2024-10-28,571.1383834000069,4.0
34,BUY,2024-11-05,2024-11-06,214,577.6283199105652,17.73051369443607,10241.646836468375,5.120823418234187,0.0005,1,,,,
34,SELL,2024-11-12,2024-11-13,219,585.0524591230312,17.73051369443607,10373.280638444403,5.186640319222201,0.0005,0,0.011840449814582321,2024-11-06,577.6283199105652,7.0
35,BUY,2024-11-15,2024-11-18,222,574.7067983365796,18.03165122084595,10362.912541854254,5.181456270927127,0.0005,1,,,,
35,SELL,2024-12-03,2024-12-04,233,593.1422142092043,18.03165122084595,10695.33353098067,5.347666765490335,0.0005,0,0.03104638771101076,2024-11-18,574.7067983365796,16.0
36,BUY,2024-12-04,2024-12-05,234,595.7256432959252,17.93551052012778,10684.643542443957,5.342321771221979,0.0005,1,,,,
36,SELL,2024-12-05,2024-12-06,235,594.9149196866322,17.93551052012778,10670.102800620565,5.335051400310283,0.0005,0,-0.0023590410048476285,2024-12-05,595.7256432959252,1.0
37,BUY,2024-12-06,2024-12-09,236,595.7551436332094,17.892313887881237,10659.438030205154,5.329719015102577,0.0005,1,,,,
